Monitoring S_AP_targets_1
CAN B_Com_targets_1
messages E_Com_targets_1
. O

CAN B_Com_targets_1
messages E_Com_targets_1
was O
captured S_AP_M_1
via O
connection O
to O
OBD S_AV_based-on_1
. O

Identification O
of O
accurate O
packet O
. O

Obtainment O
of O
CAN B_Com
messages E_Com
. O

Deactivating B_Con_hasImpact_1
the I_Con_hasImpact_1
lighting E_Con_hasImpact_1
of O
the O
vehicle O
by O
spoofing S_AP_M_1
a O
diagnostic B_Com_targets_1
message E_Com_targets_1
after O
overcoming O
the O
security B_Com
access E_Com
. O

Sending O
modified O
CAN B_Com_targets_1
message E_Com_targets_1
on O
the O
bus S_Com_targets_1
. O

Failure B_Con_hasImpact_1
of I_Con_hasImpact_1
the I_Con_hasImpact_1
vehicle I_Con_hasImpact_1
lightning E_Con_hasImpact_1
. O

