Adversarial B_Tool_uses_m
Examples E_Tool_uses_m
with O
Dense B_AP_M_1
Adversary I_AP_M_1
Generation E_AP_M_1
( O
DAG S_AP_M_1
) O
Algorithm O
to O
attack O
semantic O
segmentation O
and O
object O
detection O
. O

Cross-task O
transfer: O
For O
example O
, O
pertubations O
generated O
in O
a O
detection O
network O
are O
used O
for O
attacks O
on O
a O
segmentation O
network O
. O

Cross-task O
transfer: O
Performance O
drops O
by O
approx O
. O

11%. O
