Monitoring S_AP_targets_1
CAN B_Com_targets_1
messages E_Com_targets_1
. O

CAN B_Com_M_1
messages E_Com_M_1
was O
captured S_AP_M_1
via O
connection O
to O
OBD S_AV_M_m
. O

Identification O
of O
accurate O
packet O
. O

Obtainment O
of O
CAN O
messages O
. O

Replay O
of O
a O
valid O
CAN O
message O
to O
manipulate O
the O
vehicle O
speed O
and O
the O
engines O
rotational O
speed O
displayed O
in O
the O
instrument O
cluster O
and O
changing O
the O
displayed O
vehicle O
position O
displayed O
in O
the O
navigation O
system O
. O

Any O
vehicle O
speed O
and O
rotational O
speed O
can O
be O
displayed O
on O
the O
instrument O
cluster O
. O

Manipulation O
of O
the O
mileage O
. O

Position O
changing O
on O
the O
navigation O
system O
. O

Replay O
of O
a O
valid O
CAN O
message O
to O
manipulate O
the O
vehicle O
speed O
and O
the O
engines O
rotational O
speed O
displayed O
in O
the O
instrument O
cluster O
and O
changing O
the O
displayed O
vehicle O
position O
displayed O
in O
the O
navigation O
system O
. O

